Filename,Param_1,Param_2,Param_3,Param_4,Param_5,Param_6,Param_7,Param_8,Tool,Polar Runtime,Average Time per Iteration,# Iterations,Time_Seconds
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_1.4444444444.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,1.4444444444,Spacer,,,,326.6841
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_1.4444444444.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,1.4444444444,Golem,,,,327.6593
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_1.4444444444.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,1.4444444444,GSpacer,,,,329.0099
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_1.6666666667.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,1.6666666667,Phaserr,,,,325.287
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_1.6666666667.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,1.6666666667,Spacer,,,,326.3762
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_1.6666666667.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,1.6666666667,Golem,,,,331.2999
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_1.6666666667.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,1.6666666667,GSpacer,,,,327.7972
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_1.8888888889.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,1.8888888889,Phaserr,,,,327.1102
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_1.8888888889.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,1.8888888889,Spacer,,,,327.7868
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_1.8888888889.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,1.8888888889,Golem,,,,331.7599
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_1.8888888889.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,1.8888888889,GSpacer,,,,327.0466
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.1111111111.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.1111111111,Phaserr,,,,327.3169
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.1111111111.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.1111111111,Spacer,,,,330.8642
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.1111111111.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.1111111111,Golem,,,,328.3017
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.1111111111.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.1111111111,GSpacer,,,,327.7875
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.3333333333.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.3333333333,Phaserr,,,,330.4878
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.3333333333.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.3333333333,Spacer,,,,328.3041
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.3333333333.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.3333333333,Golem,,,,328.9495
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.3333333333.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.3333333333,GSpacer,,,,331.9902
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.5555555556.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.5555555556,Phaserr,,,,328.1096
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.5555555556.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.5555555556,Spacer,,,,328.6264
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.5555555556.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.5555555556,Golem,,,,329.574
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.5555555556.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.5555555556,GSpacer,,,,332.2089
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.7777777778.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.7777777778,Phaserr,,,,328.5512
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.7777777778.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.7777777778,Spacer,,,,329.1545
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.7777777778.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.7777777778,Golem,,,,333.0841
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_2.7777777778.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,2.7777777778,GSpacer,,,,328.4428
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_3.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,3.0,Phaserr,,,,328.6443
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_3.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,3.0,Spacer,,,,332.9359
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_3.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,3.0,Golem,,,,329.7974
p_0.00_1000.00_5000.00_5000.00_1.8333_1000.00_1.00_3.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.8333,1000.0,1.0,3.0,GSpacer,,,,329.964
